label
eating carrots
playing ocarina
rock climbing
wrestling
tango dancing
pillow fight
card stacking
opening present
cooking on campfire
bobsledding
wading through water
snowmobiling
playing trumpet
opening bottle (not wine)
hoverboarding
hoverboarding
juggling fire
mosh pit dancing
using circular saw
throwing discus
shaping bread dough
washing hands
bobsledding
trimming or shaving beard
cleaning shoes
grooming dog
swing dancing
kissing
playing harmonica
moving furniture
training dog
belly dancing
sailing
sipping cup
jetskiing
shining flashlight
dribbling basketball
cleaning windows
climbing ladder
deadlifting
answering questions
golf putting
skydiving
beatboxing
contorting
deadlifting
skydiving
answering questions
trimming shrubs
deadlifting
playing beer pong
beatboxing
answering questions
falling off chair
skydiving
cooking on campfire
disc golfing
egg hunting
passing American football (in game)
climbing tree
hurdling
blowing glass
pushing car
using remote controller (not gaming)
walking through snow
separating eggs
wading through water
parasailing
making jewelry
ice fishing
lunge
tickling
arm wrestling
cutting orange
dancing ballet
catching or throwing softball
trapezing
grinding meat
ice fishing
getting a piercing
swimming butterfly stroke
water skiing
moving furniture
auctioning
parasailing
ice fishing
planing wood
making pizza
making bubbles
smelling feet
somersaulting
bartending
pushing cart
capsizing
unboxing
waxing back
applying cream
breathing fire
getting a tattoo
playing pan pipes
air drumming
driving tractor
eating spaghetti
casting fishing line
playing laser tag
shucking oysters
using a wrench
watching tv
pole vault
bending back
laying tiles
canoeing or kayaking
zumba
swinging on something
peeling potatoes
laying concrete
ice skating
surfing crowd
eating carrots
jogging
cumbia
hitting baseball
bending metal
talking on cell phone
bottling
cooking scallops
shooting basketball
climbing tree
fixing bicycle
dyeing hair
shuffling cards
hand washing clothes
juggling fire
catching or throwing softball
headbanging
chewing gum
chewing gum
kicking field goal
sipping cup
snowmobiling
cooking egg
gospel singing in church
wrapping present
waxing legs
arguing
embroidering
plastering
triple jump
walking through snow
playing field hockey
skipping stone
celebrating
opening present
blowing out candles
jumpstyle dancing
tying bow tie
surfing water
blowing nose
skydiving
playing laser tag
jumpstyle dancing
sailing
throwing axe
pole vault
sticking tongue out
putting on foundation
headbutting
chewing gum
putting in contact lenses
texting
calculating
jumpstyle dancing
dancing gangnam style
jumping into pool
hula hooping
paragliding
tying shoe laces
tasting beer
playing gong
skydiving
shuffling cards
riding camel
flipping pancake
cutting pineapple
calligraphy
cracking back
tying knot (not on a tie)
pinching
playing lute
hurling (sport)
making paper aeroplanes
opening bottle (not wine)
bowling
riding a bike
jumping into pool
krumping
sled dog racing
cooking egg
dancing charleston
shopping
skiing crosscountry
stomping grapes
threading needle
doing nails
falling off bike
tossing coin
playing tennis
watching tv
sword fighting
throwing knife
sewing
carving ice
playing beer pong
archery
sneezing
singing
using a sledge hammer
playing polo
opening bottle (not wine)
playing ping pong
slapping
skiing mono
capoeira
tiptoeing
folding clothes
catching or throwing baseball
preparing salad
headbutting
drinking shots
rope pushdown
laying tiles
getting a tattoo
drawing
waxing eyebrows
shuffling feet
playing polo
stretching leg
playing ukulele
passing American football (in game)
chopping vegetables
playing organ
riding mechanical bull
person collecting garbage
pole vault
playing bagpipes
sweeping floor
contact juggling
kicking soccer ball
bull fighting
tying necktie
chiseling wood
slapping
dunking basketball
riding mule
tobogganing
golf driving
planting trees
air drumming
swimming backstroke
rope pushdown
lighting fire
mushroom foraging
bathing dog
shuffling cards
making cheese
playing xylophone
lifting hat
dancing ballet
tapping pen
packing
using remote controller (not gaming)
brushing hair
belly dancing
wading through mud
shooting basketball
arguing
beatboxing
kitesurfing
picking fruit
arranging flowers
skipping rope
leatherworking
eating doughnuts
making balloon shapes
zumba
skipping stone
falling off chair
tapping guitar
deadlifting
leatherworking
salsa dancing
deadlifting
deadlifting
tying knot (not on a tie)
waving hand
juggling fire
dunking basketball
ripping paper
walking the dog
using atm
roasting pig
chopping wood
triple jump
pumping fist
skiing mono
using circular saw
passing american football (not in game)
applauding
skiing mono
spray painting
situp
pillow fight
lunge
curling (sport)
lighting fire
jogging
whistling
shaping bread dough
riding a bike
mowing lawn
windsurfing
sticking tongue out
putting on eyeliner
playing saxophone
ice climbing
singing
shuffling cards
dunking basketball
shooting basketball
tackling
playing gong
opening bottle (not wine)
reading book
card stacking
tap dancing
lunge
capoeira
photobombing
playing maracas
bungee jumping
chopping vegetables
swimming breast stroke
riding mule
scrambling eggs
breathing fire
playing cymbals
playing ping pong
visiting the zoo
steer roping
applauding
playing with trains
cutting apple
using a paint roller
opening door
waving hand
reading newspaper
wrapping present
playing basketball
side kick
wood burning (art)
spinning poi
dining
sled dog racing
square dancing
head stand
battle rope training
laying concrete
laying stone
making snowman
licking
sipping cup
dumpster diving
sipping cup
laying concrete
eating spaghetti
playing chess
playing hand clapping games
unboxing
lifting hat
massaging feet
weaving fabric
abseiling
jaywalking
cutting pineapple
roasting marshmallows
weaving basket
playing scrabble
hitting baseball
curling hair
scrubbing face
cooking sausages (not on barbeque)
brushing hair
opening wine bottle
bandaging
chopping meat
catching or throwing softball
playing with trains
hand washing clothes
shaking head
chiseling stone
ice climbing
using segway
bee keeping
playing badminton
crawling baby
tying shoe laces
spinning poi
auctioning
drawing
peeling apples
playing ping pong
stretching arm
playing keyboard
disc golfing
throwing snowballs
bartending
mowing lawn
riding scooter
setting table
photobombing
using bagging machine
situp
kicking field goal
backflip (human)
scrambling eggs
bouncing on bouncy castle
belly dancing
tap dancing
playing controller
shaving head
talking on cell phone
abseiling
geocaching
fencing (sport)
stretching arm
opening wine bottle
assembling computer
hand washing clothes
massaging legs
barbequing
shearing sheep
assembling bicycle
tasting wine
roller skating
tasting food
using remote controller (not gaming)
doing jigsaw puzzle
cracking neck
photobombing
opening bottle (not wine)
jaywalking
eating chips
eating watermelon
head stand
twiddling fingers
drumming fingers
talking on cell phone
hurdling
using segway
massaging legs
drinking shots
arguing
pinching
cutting watermelon
push up
peeling potatoes
longboarding
playing chess
cracking back
playing drums
whistling
pole vault
falling off bike
curling (sport)
petting animal (not cat)
washing hair
washing feet
cleaning gutters
shuffling feet
shaving legs
dancing macarena
drop kicking
making balloon shapes
passing American football (in game)
doing jigsaw puzzle
putting on shoes
making cheese
smoking hookah
playing guitar
pillow fight
playing dominoes
somersaulting
hand washing clothes
card stacking
falling off chair
putting in contact lenses
carving pumpkin
poking bellybutton
wrestling
drawing
jogging
cutting nails
cartwheeling
sword fighting
acting in play
playing basketball
laying concrete
using a paint roller
wrestling
kitesurfing
hugging (not baby)
chiseling stone
drawing
applauding
hugging (not baby)
wrestling
wrestling
drawing
washing hands
playing netball
playing beer pong
biking through snow
playing clarinet
paragliding
windsurfing
paragliding
throwing ball (not baseball or American football)
applauding
braiding hair
wrestling
beatboxing
making a cake
cutting pineapple
beatboxing
deadlifting
waxing eyebrows
hoverboarding
rolling pastry
smoking
wrestling
wrestling
pushing cart
peeling apples
repairing puncture
sign language interpreting
using a paint roller
hoverboarding
cutting watermelon
cooking sausages (not on barbeque)
bending back
driving tractor
historical reenactment
cleaning shoes
cooking on campfire
playing violin
dancing charleston
skydiving
applying cream
trimming shrubs
parkour
playing polo
playing organ
training dog
playing hand clapping games
headbanging
dyeing hair
laying bricks
busking
bandaging
pushing wheelbarrow
assembling computer
brushing teeth
lock picking
tossing coin
reading newspaper
throwing snowballs
capoeira
playing cricket
photocopying
looking at phone
throwing snowballs
catching fish
bulldozing
bending back
dodgeball
tagging graffiti
tapping guitar
using a microscope
tying bow tie
kicking field goal
front raises
person collecting garbage
playing drums
smoking hookah
clam digging
ice fishing
passing soccer ball
riding or walking with horse
playing keyboard
exercising with an exercise ball
playing gong
sword swallowing
salsa dancing
slapping
watching tv
unloading truck
hitting baseball
barbequing
somersaulting
weaving basket
brush painting
wood burning (art)
building cabinet
sharpening knives
chiseling stone
shucking oysters
bending back
threading needle
bulldozing
tap dancing
mosh pit dancing
drumming fingers
bandaging
inflating balloons
punching bag
rock climbing
sleeping
hurling (sport)
sipping cup
calculating
scrambling eggs
cleaning shoes
doing jigsaw puzzle
watching tv
snowmobiling
playing pan pipes
skipping stone
spray painting
braiding hair
making horseshoes
krumping
poking bellybutton
unboxing
water skiing
finger snapping
changing gear in car
getting a haircut
kitesurfing
planting trees
skateboarding
tying bow tie
finger snapping
bouncing on trampoline
climbing tree
hand washing clothes
eating chips
brush painting
passing American football (in game)
doing laundry
juggling fire
bodysurfing
capsizing
tango dancing
picking fruit
making pizza
planing wood
making bubbles
threading needle
news anchoring
cleaning gutters
smelling feet
shaving head
playing clarinet
pushing wheelbarrow
sword fighting
waxing legs
climbing a rope
belly dancing
riding or walking with horse
ice fishing
repairing puncture
folding napkins
doing aerobics
playing bagpipes
clam digging
parasailing
javelin throw
sharpening knives
playing tennis
water skiing
scuba diving
petting animal (not cat)
parasailing
steer roping
using atm
tai chi
cheerleading
somersaulting
gymnastics tumbling
tapping pen
water skiing
blowing glass
putting on foundation
washing feet
riding mule
reading book
shuffling feet
scuba diving
making pizza
lunge
singing
picking fruit
snatch weight lifting
flying kite
rock climbing
folding paper
hula hooping
ironing hair
bouncing on trampoline
throwing knife
tying necktie
sticking tongue out
flipping pancake
bending metal
cracking knuckles
using circular saw
high jump
triple jump
playing ice hockey
kicking soccer ball
riding mechanical bull
leatherworking
biking through snow
tango dancing
cosplaying
cheerleading
jumping jacks
using a wrench
long jump
texting
trimming trees
chiseling wood
celebrating
using a power drill
playing field hockey
frying vegetables
pouring beer
calligraphy
playing rubiks cube
stretching leg
pillow fight
rope pushdown
dribbling basketball
wrestling
washing hair
using inhaler
crying
chewing gum
lawn mower racing
making sushi
diving cliff
kicking field goal
jumpstyle dancing
blowing bubble gum
shearing sheep
putting in contact lenses
playing blackjack
washing feet
opening bottle (not wine)
sailing
slapping
sharpening pencil
rope pushdown
carving ice
doing nails
laughing
repairing puncture
playing netball
arguing
playing monopoly
jaywalking
air drumming
waving hand
clean and jerk
polishing metal
playing laser tag
gospel singing in church
photobombing
auctioning
sawing wood
weaving basket
contorting
passing American football (in game)
threading needle
polishing metal
grooming dog
playing drums
air drumming
running on treadmill
hurling (sport)
bodysurfing
exercising with an exercise ball
throwing ball (not baseball or American football)
playing field hockey
chopping wood
throwing axe
battle rope training
cosplaying
situp
shopping
hammer throw
baking cookies
kicking field goal
archery
capoeira
long jump
using bagging machine
hurdling
playing ping pong
hopscotch
karaoke
chiseling stone
trimming trees
making snowman
getting a haircut
playing netball
skiing slalom
playing cymbals
throwing knife
bowling
hurdling
waxing eyebrows
bowling
scrapbooking
skiing crosscountry
making sushi
bull fighting
geocaching
assembling bicycle
playing cymbals
delivering mail
cleaning toilet
cooking egg
using circular saw
karaoke
playing accordion
karaoke
using a sledge hammer
pirouetting
folding napkins
pillow fight
cooking sausages (not on barbeque)
opening refrigerator
sleeping
knitting
crossing river
ironing
tying shoe laces
photocopying
assembling computer
sweeping floor
massaging person's head
archaeological excavation
sanding floor
playing bass guitar
milking cow
making balloon shapes
cooking sausages (not on barbeque)
playing recorder
ironing
putting on eyeliner
beatboxing
marching
skipping stone
playing cymbals
drinking shots
hammer throw
throwing snowballs
making the bed
using a sledge hammer
cooking on campfire
drooling
land sailing
playing recorder
blowdrying hair
petting animal (not cat)
playing lute
riding or walking with horse
bull fighting
plastering
yoga
belly dancing
weaving fabric
biking through snow
bending metal
hockey stop
sticking tongue out
eating hotdog
polishing metal
playing xylophone
grooming horse
chopping wood
card throwing
building shed
shining flashlight
building sandcastle
needle felting
shaving head
blowing bubble gum
using a paint roller
shaving head
air drumming
running on treadmill
tagging graffiti
kicking soccer ball
wading through water
waiting in line
playing recorder
celebrating
marriage proposal
watching tv
exercising with an exercise ball
using bagging machine
dancing gangnam style
yarn spinning
sleeping
water sliding
tickling
pushing cart
slapping
sweeping floor
chiseling wood
pushing cart
jumping into pool
doing jigsaw puzzle
chiseling stone
pull ups
windsurfing
acting in play
smelling feet
scrapbooking
putting in contact lenses
playing harp
waxing eyebrows
singing
singing
scuba diving
singing
long jump
busking
surfing water
using remote controller (not gaming)
putting on lipstick
ice swimming
whistling
wood burning (art)
playing accordion
cooking egg
krumping
drinking shots
spelunking
flipping pancake
sled dog racing
climbing ladder
holding snake
doing aerobics
playing piano
land sailing
walking the dog
trimming shrubs
extinguishing fire
making balloon shapes
using circular saw
hopscotch
crawling baby
grinding meat
playing didgeridoo
carving ice
bookbinding
using a microscope
pushing wheelbarrow
push up
bobsledding
opening door
bench pressing
air drumming
playing dominoes
sharpening knives
zumba
crying
playing maracas
cracking back
playing squash or racquetball
passing american football (not in game)
photocopying
tossing coin
using circular saw
delivering mail
docking boat
winking
planing wood
plastering
archery
plastering
parkour
swimming butterfly stroke
playing controller
base jumping
hula hooping
breaking boards
playing cymbals
burping
shot put
robot dancing
clay pottery making
kitesurfing
canoeing or kayaking
using circular saw
repairing puncture
crawling baby
hoverboarding
playing clarinet
pinching
playing poker
sawing wood
kitesurfing
sharpening pencil
person collecting garbage
ironing
parasailing
playing keyboard
shaving legs
barbequing
surfing water
smoking
bungee jumping
threading needle
playing violin
bowling
rock scissors paper
massaging person's head
sanding floor
jumpstyle dancing
waking up
directing traffic
sled dog racing
country line dancing
kicking soccer ball
riding mule
hopscotch
playing bagpipes
dancing macarena
extinguishing fire
using a sledge hammer
playing marbles
waving hand
cracking neck
massaging feet
tickling
climbing a rope
scuba diving
clean and jerk
building sandcastle
skydiving
tiptoeing
jumping into pool
shucking oysters
putting on foundation
putting on shoes
yarn spinning
golf driving
wading through water
doing nails
cutting pineapple
chiseling stone
playing dominoes
cutting orange
javelin throw
playing field hockey
ice fishing
tap dancing
somersaulting
playing trumpet
testifying
blowing glass
embroidering
bending back
swimming breast stroke
flint knapping
gospel singing in church
tightrope walking
decorating the christmas tree
building cabinet
fencing (sport)
giving or receiving award
golf chipping
riding unicycle
standing on hands
raising eyebrows
tying knot (not on a tie)
lock picking
skateboarding
ice fishing
blowing bubble gum
shooting goal (soccer)
making a cake
opening door
skiing crosscountry
rolling pastry
curling (sport)
feeding goats
scuba diving
playing saxophone
fixing bicycle
combing hair
shearing sheep
historical reenactment
tickling
situp
crossing river
playing tennis
hugging (not baby)
tying knot (not on a tie)
playing field hockey
pillow fight
fly tying
playing clarinet
hammer throw
jogging
catching or throwing baseball
changing wheel (not on bike)
tiptoeing
tango dancing
riding mule
unboxing
changing gear in car
blowing glass
whistling
calligraphy
snowboarding
ice swimming
sleeping
polishing metal
shearing sheep
playing didgeridoo
watering plants
cumbia
playing controller
bee keeping
using bagging machine
shooting goal (soccer)
using a sledge hammer
playing field hockey
jumping jacks
playing blackjack
climbing ladder
rock climbing
tying shoe laces
land sailing
playing bagpipes
opening door
cosplaying
needle felting
eating chips
bouncing on trampoline
playing gong
clay pottery making
playing basketball
fixing hair
tossing coin
attending conference
milking cow
ice skating
dancing charleston
waxing eyebrows
playing xylophone
pole vault
playing keyboard
riding mechanical bull
catching or throwing softball
fidgeting
shopping
knitting
riding scooter
blowing out candles
fixing bicycle
smoking hookah
laying tiles
catching or throwing frisbee
sleeping
shaving legs
playing ping pong
breaking boards
sleeping
playing controller
pirouetting
delivering mail
eating doughnuts
skiing mono
canoeing or kayaking
eating carrots
chiseling stone
roller skating
catching or throwing softball
doing laundry
building shed
eating burger
tapping guitar
cartwheeling
catching or throwing softball
grooming dog
breathing fire
canoeing or kayaking
parasailing
headbanging
jumping jacks
arguing
riding unicycle
arranging flowers
parasailing
hitting baseball
gospel singing in church
hugging baby
arm wrestling
bartending
throwing discus
peeling apples
unboxing
applauding
opening bottle (not wine)
massaging neck
krumping
bouncing on bouncy castle
putting on mascara
paragliding
backflip (human)
washing dishes
eating watermelon
docking boat
salsa dancing
playing trombone
parkour
jumpstyle dancing
playing netball
egg hunting
frying vegetables
swing dancing
running on treadmill
historical reenactment
swimming butterfly stroke
yoga
adjusting glasses
clay pottery making
fencing (sport)
mosh pit dancing
lifting hat
shuffling feet
air drumming
applying cream
mopping floor
hopscotch
tickling
salsa dancing
chiseling wood
blasting sand
dumpster diving
faceplanting
putting on sari
lawn mower racing
catching fish
carving ice
skiing mono
luge
clay pottery making
putting on eyeliner
clay pottery making
eating chips
jumping bicycle
riding snow blower
headbutting
playing accordion
putting in contact lenses
catching or throwing softball
washing dishes
bench pressing
tapping pen
clam digging
playing cricket
cosplaying
putting on shoes
playing hand clapping games
shaving legs
drop kicking
playing ping pong
making a cake
bull fighting
shining flashlight
playing piano
catching or throwing softball
sausage making
busking
making snowman
calculating
twiddling fingers
playing trombone
bungee jumping
flying kite
eating spaghetti
smoking
playing harmonica
counting money
playing beer pong
cleaning toilet
exercising with an exercise ball
carrying baby
golf driving
country line dancing
dunking basketball
cutting apple
grooming dog
combing hair
cheerleading
tango dancing
fencing (sport)
using remote controller (not gaming)
lighting fire
packing
making horseshoes
putting on sari
using a power drill
sipping cup
hopscotch
casting fishing line
washing dishes
roasting pig
yarn spinning
eating cake
surfing crowd
pole vault
fencing (sport)
fixing bicycle
presenting weather forecast
playing xylophone
tackling
playing controller
crossing river
throwing knife
watering plants
square dancing
washing hair
using puppets
finger snapping
bandaging
playing poker
swinging baseball bat
playing tennis
bending back
building cabinet
playing monopoly
using puppets
lunge
waxing legs
using a paint roller
water skiing
hula hooping
using bagging machine
peeling potatoes
eating hotdog
reading newspaper
juggling soccer ball
sanding floor
archery
dyeing hair
snorkeling
drumming fingers
texting
shaping bread dough
clay pottery making
making a sandwich
eating carrots
pull ups
skipping stone
passing american football (not in game)
tickling
headbanging
salsa dancing
windsurfing
docking boat
grooming dog
throwing discus
cutting apple
sanding floor
putting on sari
unloading truck
cutting watermelon
walking through snow
testifying
doing nails
flipping pancake
riding mechanical bull
playing maracas
baking cookies
fixing bicycle
planting trees
wrapping present
playing organ
blowing bubble gum
docking boat
testifying
lighting fire
checking tires
eating hotdog
bandaging
tackling
shaking hands
making a cake
smashing
sausage making
cartwheeling
planting trees
breading or breadcrumbing
high jump
extinguishing fire
tasting food
making jewelry
playing blackjack
diving cliff
ski jumping
building shed
sign language interpreting
tango dancing
skiing mono
presenting weather forecast
needle felting
curling hair
frying vegetables
polishing metal
jogging
putting in contact lenses
climbing tree
swimming butterfly stroke
shopping
waiting in line
drooling
juggling fire
playing bass guitar
playing pan pipes
playing cello
home roasting coffee
checking tires
surfing water
shining flashlight
pumping gas
mowing lawn
directing traffic
watering plants
bench pressing
shaping bread dough
swimming butterfly stroke
marching
riding snow blower
shopping
waving hand
playing cello
playing guitar
chiseling wood
running on treadmill
walking the dog
grooming dog
falling off bike
shaking head
swimming butterfly stroke
holding snake
breathing fire
eating carrots
situp
using inhaler
hammer throw
scrapbooking
bee keeping
combing hair
shining shoes
petting animal (not cat)
ice skating
trimming or shaving beard
trimming shrubs
surfing water
yoga
sailing
playing flute
climbing ladder
using inhaler
playing flute
using remote controller (not gaming)
shucking oysters
planting trees
sleeping
abseiling
bee keeping
poking bellybutton
brushing hair
yawning
tobogganing
poking bellybutton
changing wheel (not on bike)
dodgeball
texting
ripping paper
riding unicycle
tap dancing
lifting hat
pumping gas
looking at phone
finger snapping
eating ice cream
tying bow tie
front raises
playing volleyball
arguing
playing beer pong
steer roping
throwing water balloon
climbing tree
dancing charleston
shooting goal (soccer)
trimming or shaving beard
tai chi
hugging (not baby)
news anchoring
playing harp
drooling
rock scissors paper
swimming butterfly stroke
riding elephant
knitting
bench pressing
tying shoe laces
dyeing hair
playing lute
casting fishing line
throwing discus
doing aerobics
breaking boards
putting in contact lenses
gymnastics tumbling
shearing sheep
standing on hands
flipping pancake
washing dishes
needle felting
making pizza
eating ice cream
grooming dog
tossing coin
hurdling
smoking hookah
putting on shoes
playing with trains
bartending
head stand
somersaulting
tap dancing
playing chess
shooting basketball
scuba diving
crossing eyes
high kick
sanding floor
shuffling cards
fidgeting
carving ice
burping
rock climbing
unboxing
massaging legs
contorting
frying vegetables
presenting weather forecast
shot put
mushroom foraging
pole vault
threading needle
getting a tattoo
ice climbing
diving cliff
clam digging
using a wrench
contact juggling
washing feet
arranging flowers
springboard diving
bathing dog
playing beer pong
waving hand
waxing legs
tasting food
smoking
welding
playing paintball
ice skating
throwing tantrum
historical reenactment
putting on sari
playing trumpet
busking
putting on shoes
opening refrigerator
building sandcastle
auctioning
applauding
making sushi
riding snow blower
waxing back
making cheese
drawing
cutting watermelon
playing hand clapping games
applying cream
making paper aeroplanes
backflip (human)
javelin throw
throwing ball (not baseball or American football)
chopping wood
playing harp
climbing tree
dyeing hair
playing netball
base jumping
building cabinet
egg hunting
huddling
paragliding
falling off bike
cartwheeling
swimming front crawl
putting in contact lenses
snowmobiling
pull ups
using bagging machine
hurling (sport)
steer roping
separating eggs
making pizza
playing accordion
squat
checking tires
riding snow blower
golf putting
playing harp
paragliding
robot dancing
breathing fire
kicking soccer ball
beatboxing
cleaning windows
hula hooping
trimming shrubs
curling hair
squat
doing jigsaw puzzle
skydiving
beatboxing
swimming front crawl
cracking back
knitting
marriage proposal
yarn spinning
swinging on something
brushing hair
watching tv
smoking
dancing ballet
ice swimming
assembling computer
using remote controller (not gaming)
throwing tantrum
embroidering
eating ice cream
dumpster diving
breathing fire
blowing leaves
watching tv
contact juggling
ironing
folding napkins
clean and jerk
setting table
kicking field goal
playing organ
marching
using inhaler
tiptoeing
long jump
shucking oysters
bandaging
playing bass guitar
bouncing on trampoline
sucking lolly
tasting food
barbequing
headbutting
spelunking
riding scooter
riding scooter
doing laundry
holding snake
playing netball
playing harp
tackling
playing netball
making horseshoes
bulldozing
docking boat
staring
person collecting garbage
bodysurfing
attending conference
jetskiing
land sailing
pushing cart
faceplanting
pole vault
ice fishing
playing lute
playing violin
golf chipping
sausage making
smoking pipe
crossing river
preparing salad
getting a piercing
talking on cell phone
wood burning (art)
grinding meat
playing marbles
using a microscope
doing aerobics
hurling (sport)
arguing
playing drums
washing dishes
cutting apple
golf chipping
assembling computer
wading through water
windsurfing
sword fighting
capsizing
arguing
marching
kitesurfing
training dog
sharpening pencil
blowing leaves
country line dancing
hurdling
decorating the christmas tree
plastering
smoking hookah
putting on foundation
bungee jumping
eating cake
passing soccer ball
reading newspaper
bartending
bench pressing
cartwheeling
cooking sausages (not on barbeque)
marriage proposal
playing recorder
high kick
playing hand clapping games
bodysurfing
sword fighting
snorkeling
marriage proposal
checking tires
sausage making
dunking basketball
fidgeting
smelling feet
eating hotdog
catching or throwing baseball
ice skating
side kick
singing
cleaning windows
mushroom foraging
alligator wrestling
push up
crossing river
pull ups
climbing ladder
weaving basket
lunge
crawling baby
hugging (not baby)
massaging person's head
tossing coin
capoeira
kissing
water sliding
planing wood
bending back
snowmobiling
throwing discus
presenting weather forecast
pouring beer
making bubbles
egg hunting
climbing a rope
stomping grapes
training dog
hoverboarding
packing
blowing leaves
eating ice cream
javelin throw
petting animal (not cat)
jumping jacks
checking tires
slacklining
cracking back
blowing leaves
eating carrots
photobombing
bathing dog
cooking sausages (not on barbeque)
cutting orange
juggling balls
moon walking
combing hair
moon walking
wrapping present
weaving fabric
blowing leaves
carving ice
cracking back
capsizing
ski jumping
making pizza
mushroom foraging
wading through water
swimming breast stroke
waiting in line
building shed
ironing
belly dancing
pumping fist
shuffling cards
country line dancing
breakdancing
braiding hair
curling (sport)
pumping fist
breaking boards
mosh pit dancing
flipping pancake
playing accordion
fencing (sport)
steer roping
skipping rope
adjusting glasses
playing rubiks cube
bookbinding
golf chipping
playing cello
falling off bike
playing keyboard
cosplaying
bathing dog
tightrope walking
laughing
smashing
assembling computer
spray painting
clay pottery making
contorting
fly tying
stretching arm
playing guitar
dribbling basketball
dancing gangnam style
dancing charleston
making sushi
busking
shuffling cards
massaging feet
using inhaler
pinching
acting in play
tying knot (not on a tie)
applying cream
driving tractor
cutting watermelon
swimming front crawl
playing trombone
breathing fire
making bubbles
rock scissors paper
snowkiting
playing maracas
rope pushdown
shopping
breaking boards
dyeing hair
pinching
raising eyebrows
news anchoring
pull ups
photobombing
fixing hair
chewing gum
playing rubiks cube
tying bow tie
chopping vegetables
playing trombone
tagging graffiti
dancing ballet
scrambling eggs
welding
arguing
cleaning windows
dodgeball
yawning
skipping rope
carving pumpkin
playing pan pipes
pillow fight
zumba
building lego
waxing back
eating watermelon
square dancing
eating ice cream
reading newspaper
historical reenactment
bodysurfing
brushing hair
dining
crossing river
using circular saw
bouncing on trampoline
tagging graffiti
driving car
riding a bike
sucking lolly
playing harmonica
cutting watermelon
using remote controller (not gaming)
peeling apples
arranging flowers
calligraphy
stomping grapes
petting animal (not cat)
ski jumping
casting fishing line
swimming backstroke
skiing slalom
playing drums
headbanging
opening door
archaeological excavation
swimming butterfly stroke
shaving head
calligraphy
ironing hair
staring
chopping vegetables
eating doughnuts
huddling
playing keyboard
dancing macarena
folding napkins
cheerleading
skiing mono
fly tying
washing dishes
battle rope training
cooking scallops
unloading truck
hammer throw
playing accordion
making a cake
cutting apple
inflating balloons
playing ice hockey
roller skating
historical reenactment
waxing legs
finger snapping
chewing gum
eating burger
drooling
making pizza
folding paper
blowing bubble gum
eating watermelon
driving tractor
chiseling wood
shaking head
using a microscope
yawning
mopping floor
pushing car
watering plants
falling off bike
cooking egg
diving cliff
massaging feet
using circular saw
playing controller
extinguishing fire
playing netball
capoeira
celebrating
jetskiing
blowing bubble gum
grooming horse
playing didgeridoo
card stacking
cutting pineapple
yoga
skipping stone
drinking shots
baking cookies
making a sandwich
kissing
pushing cart
bouncing on bouncy castle
cracking knuckles
grinding meat
peeling apples
chopping wood
tying bow tie
shuffling cards
swinging baseball bat
playing keyboard
blasting sand
inflating balloons
cooking egg
shining shoes
shoveling snow
swimming butterfly stroke
weaving fabric
using circular saw
bobsledding
lifting hat
playing polo
laughing
using segway
playing field hockey
cooking sausages (not on barbeque)
playing gong
drumming fingers
playing violin
card throwing
feeding fish
brushing hair
swimming breast stroke
bobsledding
card stacking
golf chipping
sword fighting
dining
home roasting coffee
repairing puncture
cooking scallops
vacuuming floor
roller skating
decorating the christmas tree
bending back
burping
grooming horse
bench pressing
bathing dog
breading or breadcrumbing
pumping gas
delivering mail
bulldozing
cutting apple
stretching leg
card stacking
skiing mono
bench pressing
chiseling stone
shining shoes
driving tractor
cutting orange
applying cream
rope pushdown
bathing dog
jumping jacks
pillow fight
cooking sausages (not on barbeque)
windsurfing
cleaning pool
sword fighting
clean and jerk
changing gear in car
air drumming
wading through mud
passing American football (in game)
bartending
putting on lipstick
playing harp
tightrope walking
making a sandwich
stretching arm
inflating balloons
changing wheel (not on bike)
looking at phone
bungee jumping
breakdancing
opening wine bottle
fidgeting
biking through snow
diving cliff
laying concrete
geocaching
bull fighting
cooking scallops
bobsledding
playing dominoes
cleaning gutters
opening wine bottle
cooking egg
playing dominoes
swinging on something
ice skating
playing clarinet
juggling fire
arguing
playing organ
training dog
coloring in
arguing
frying vegetables
climbing a rope
shining flashlight
playing flute
punching person (boxing)
leatherworking
fencing (sport)
playing chess
falling off chair
golf chipping
faceplanting
laying stone
training dog
jogging
chiseling stone
making horseshoes
card throwing
ironing hair
making pizza
paragliding
licking
waving hand
eating spaghetti
watering plants
playing beer pong
raising eyebrows
chewing gum
scuba diving
opening present
lunge
cartwheeling
popping balloons
threading needle
delivering mail
playing chess
laying stone
laying tiles
texting
yarn spinning
putting on sari
dining
brush painting
playing cello
cutting apple
playing kickball
scrapbooking
eating chips
sanding floor
jumping bicycle
riding elephant
throwing axe
flint knapping
kissing
high jump
assembling computer
playing poker
using a wrench
riding snow blower
walking the dog
smoking
tango dancing
slapping
making snowman
doing jigsaw puzzle
parkour
ice skating
cooking on campfire
zumba
playing trombone
tango dancing
wading through water
packing
plastering
jumping bicycle
playing basketball
zumba
bodysurfing
making balloon shapes
pumping fist
making jewelry
sign language interpreting
playing piano
eating chips
mushroom foraging
snowkiting
pushing cart
drooling
using a power drill
watching tv
using bagging machine
hand washing clothes
shooting basketball
carving pumpkin
flint knapping
docking boat
